Teclado Gamer,2998.50
Mouse Sem Fio,2699.70
Monitor 24",7990.00
Notebook i5,14995.00
HD Externo 1TB,6990.00
Pen Drive 64GB,2396.00
Smartphone Android,11999.92
Cadeira Gamer,10788.00
Impressora Multifuncional,3493.00
Webcam Full HD,4122.00
Microfone USB,3299.00
Fone Bluetooth,4747.50
Tablet 10",5994.00
Caixa de Som Bluetooth,3299.78
Hub USB 4 portas,2796.50
Carregador Portátil 10000mAh,3483.00
Controle Xbox,3591.00
SSD 512GB,6018.60
Placa de Vídeo RTX 3060,9599.96
Processador Ryzen 5,7199.40
Memória RAM 16GB,6238.70
Fonte 600W,3289.00
Gabinete Gamer,2792.00
Cooler para CPU,1898.10
Switch de Rede 8 portas,2544.00
